Topic,Name,Type,Url,External ID,Description
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 5,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-rest.html,Snowflake 1.0 | LR | Data Loading [Continous] 5,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 6,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-ts.html,Snowflake 1.0 | LR | Data Loading [Continous] 6,
Snowlfake,Snowflake 1.0 | LR | Data Loading [Continous] 7,Tutorial,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-manage.html,Snowflake 1.0 | LR | Data Loading [Continous] 7,
Snowlfake,Snowflake 1.0 | LR | Data Unloading 1,Tutorial,https://docs.snowflake.com/en/user-guide/data-unload-overview.html,Snowflake 1.0 | LR | Data Unloading 1,
Snowlfake,Snowflake 1.0 | LR | Data Unloading 2,Tutorial,https://docs.snowflake.com/en/user-guide/data-unload-snowflake.html,Snowflake 1.0 | LR | Data Unloading 2,
Snowlfake,Snowflake 1.0 | LR | Data Unloading 3,Tutorial,https://docs.snowflake.com/en/user-guide/data-unload-s3.html,Snowflake 1.0 | LR | Data Unloading 3,
Snowlfake,Snowflake 1.0 | LR | Data Unloading 4,Tutorial,https://docs.snowflake.com/en/user-guide/data-unload-gcs.html,Snowflake 1.0 | LR | Data Unloading 4,
Snowlfake,Snowflake 1.0 | LR | Data Unloading 5,Tutorial,https://docs.snowflake.com/en/user-guide/data-unload-azure.html,Snowflake 1.0 | LR | Data Unloading 5,
Snowlfake,Snowflake 1.0 | LR | Data Unloading 6,Tutorial,https://docs.snowflake.com/en/user-guide/intro-summary-unloading.html,Snowflake 1.0 | LR | Data Unloading 6,
Snowlfake,Snowflake 1.0 | LR | Functions 1,Tutorial,https://docs.snowflake.com/en/sql-reference/udf-overview.html,Snowflake 1.0 | LR | Functions 1,
Snowlfake,Snowflake 1.0 | LR | Functions 2,Tutorial,https://docs.snowflake.com/en/sql-reference/external-functions-introduction.html,Snowflake 1.0 | LR | Functions 2,
Snowlfake,Snowflake 1.0 | LR | Introduction,Web Resource,https://docs.google.com/presentation/d/1IbX8lQsXWKx_wCsfBuiYMm8LlOg16VuNqKyPYdRyli0/edit?usp=sharing,Snowflake 1.0 | LR | Introduction,
Snowlfake,Snowflake 1.0 | LR | Materialised View,Tutorial,https://docs.snowflake.com/en/user-guide/views-materialized.html,Snowflake 1.0 | LR | Materialised View,
Snowlfake,Snowflake 1.0 | LR | Security 1,Tutorial,https://docs.snowflake.com/en/user-guide/admin-security.html,Snowflake 1.0 | LR | Security 1,
Snowlfake,Snowflake 1.0 | LR | Security 2,Tutorial,https://docs.snowflake.com/en/user-guide/data-cdp.html,Snowflake 1.0 | LR | Security 2,
Snowlfake,Snowflake 1.0 | LR | Security 3,Tutorial,https://docs.snowflake.com/en/user-guide/key-pair-auth.html,Snowflake 1.0 | LR | Security 3,
Snowlfake,Snowflake 1.0 | LR | Security 4,Tutorial,https://docs.snowflake.com/en/user-guide/security-mfa.html,Snowflake 1.0 | LR | Security 4,
Snowlfake,Snowflake 1.0 | LR | Security 5,Tutorial,https://docs.snowflake.com/en/user-guide/oauth.html,Snowflake 1.0 | LR | Security 5,
Snowlfake,Snowflake 1.0 | LR | Security 6,Tutorial,https://docs.snowflake.com/en/user-guide/admin-security-fed-auth.html,Snowflake 1.0 | LR | Security 6,
Snowlfake,Snowflake 1.0 | LR | Security 7,Tutorial,https://docs.snowflake.com/en/user-guide/security-access-control.html,Snowflake 1.0 | LR | Security 7,
Snowlfake,Snowflake 1.0 | LR | Security 8,Tutorial,https://docs.snowflake.com/en/user-guide/security-encryption.html,Snowflake 1.0 | LR | Security 8,
Snowlfake,Snowflake 1.0 | LR | Signup,Tutorial,https://docs.snowflake.com/en/user-guide/admin-trial-account.html,Snowflake 1.0 | LR | Signup,
Snowlfake,Snowflake 1.0 | LR | Stored Procedures 1,Tutorial,https://docs.snowflake.com/en/sql-reference/stored-procedures-overview.html,Snowflake 1.0 | LR | Stored Procedures 1,
Snowlfake,Snowflake 1.0 | LR | Stored Procedures 2,Tutorial,https://docs.snowflake.com/en/sql-reference/stored-procedures-rights.html,Snowflake 1.0 | LR | Stored Procedures 2,
Snowlfake,Snowflake 1.0 | LR | Stored Procedures 3,Tutorial,https://docs.snowflake.com/en/sql-reference/stored-procedures-usage.html,Snowflake 1.0 | LR | Stored Procedures 3,
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 1,Tutorial,https://docs.snowflake.com/en/user-guide/admin-usage-billing.html,Snowflake 1.0 | LR | System Usage and Billing 1,
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 2,Tutorial,https://docs.snowflake.com/en/user-guide/what-are-credits.html,Snowflake 1.0 | LR | System Usage and Billing 2,
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 3,Tutorial,https://docs.snowflake.com/en/user-guide/credits.html,Snowflake 1.0 | LR | System Usage and Billing 3,
Snowlfake,Snowflake 1.0 | LR | System Usage and Billing 4,Tutorial,https://docs.snowflake.com/en/user-guide/billing-data-transfer.html,Snowflake 1.0 | LR | System Usage and Billing 4,
